Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.005,129
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,130
2.10.20.172.in-addr.arpa,12,0,2.987,162
254.211.138.17.in-addr.arpa,12,0,0.0,163
2.10.20.172.in-addr.arpa,12,1,0.0,164
254.211.138.17.in-addr.arpa,12,1,0.0,165
254.211.138.17.in-addr.arpa,12,1,0.007,166
2.10.20.172.in-addr.arpa,12,1,0.0,167
2.10.20.172.in-addr.arpa,12,0,0.0,168
254.211.138.17.in-addr.arpa,12,0,0.0,169
2.10.20.172.in-addr.arpa,12,0,0.006,170
254.211.138.17.in-addr.arpa,12,0,0.0,171
2.10.20.172.in-addr.arpa,12,0,0.0,172
254.211.138.17.in-addr.arpa,12,0,0.0,173
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.986,178
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,179
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,180
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,181
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.048,182
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,183
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.006,184
6.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,185
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,186
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,187
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.005,188
5.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,189
1.10.20.172.in-addr.arpa,12,0,3.938,211
1.10.20.172.in-addr.arpa,12,1,0.0,212
1.10.20.172.in-addr.arpa,12,1,0.025,213
1.10.20.172.in-addr.arpa,12,0,0.0,214
1.10.20.172.in-addr.arpa,12,0,0.005,215
1.10.20.172.in-addr.arpa,12,0,0.0,216
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,18.969,402
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.001,403
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.008,404
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,405
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.004,406
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.001,407
p29-docws.icloud.com,1,1,4.433,463
p29-docws.icloud.com,28,1,0.0,464
p29-docws.icloud.com,1,1,0.0,465
p29-docws.icloud.com,28,1,0.0,466
p29-docws.icloud.com,28,1,0.063,468
p29-docws.icloud.com,28,1,0.0,469
p29-docws.icloud.com,1,1,0.001,470
p29-docws.icloud.com,1,1,0.0,471
cvws.icloud-content.com,1,1,0.639,633
cvws.icloud-content.com,28,1,0.0,634
cvws.icloud-content.com,1,1,0.0,635
cvws.icloud-content.com,28,1,0.0,636
cvws.icloud-content.com,28,1,0.072,643
cvws.icloud-content.com,1,1,0.0,644
cvws.icloud-content.com,28,1,0.0,647
cvws.icloud-content.com,1,1,0.0,648
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,8.777,1026
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,1027
251.0.0.224.in-addr.arpa,12,0,0.0,1028
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,1029
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.0,1030
251.0.0.224.in-addr.arpa,12,1,0.0,1031
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.035,1032
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.0,1033
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,1034
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,1035
251.0.0.224.in-addr.arpa,12,1,0.001,1036
251.0.0.224.in-addr.arpa,12,0,0.0,1037
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.004,1038
2.d.f.b.7.5.6.5.b.8.a.3.a.a.1.7.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,1039
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,1040
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,1041
 
File: DeleteDeFichiers/Linux_Wifi_pdfOffDrive1.pcapng
 
 
File: DeleteDeFichiers/Linux_4G_pdfOffDrive.pcapng
 
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,1.402,2
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,3
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,4
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.0,5
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.033,6
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,7
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.006,8
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.001,9
53.0.0.127.in-addr.arpa,12,0,0.959,12
2.10.20.172.in-addr.arpa,12,0,0.0,13
1.10.20.172.in-addr.arpa,12,0,0.0,14
53.0.0.127.in-addr.arpa,12,0,0.0,15
2.10.20.172.in-addr.arpa,12,1,0.0,16
1.10.20.172.in-addr.arpa,12,1,0.0,17
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,1.999,20
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,21
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,22
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,23
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.05,24
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,25
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,26
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,27
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.006,28
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,29
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,30
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,31
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.942,41
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,42
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.007,43
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,44
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.005,45
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,46
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,1.988,67
2.10.20.172.in-addr.arpa,12,0,0.0,68
1.10.20.172.in-addr.arpa,12,0,0.0,69
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,70
1.10.20.172.in-addr.arpa,12,1,0.0,71
2.10.20.172.in-addr.arpa,12,1,0.0,72
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.031,73
1.10.20.172.in-addr.arpa,12,1,0.0,74
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,75
1.10.20.172.in-addr.arpa,12,0,0.0,76
2.10.20.172.in-addr.arpa,12,1,0.001,77
2.10.20.172.in-addr.arpa,12,0,0.0,78
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.004,79
2.10.20.172.in-addr.arpa,12,0,0.0,80
1.10.20.172.in-addr.arpa,12,0,0.0,81
1.10.20.172.in-addr.arpa,12,0,0.0,82
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,83
2.10.20.172.in-addr.arpa,12,0,0.0,84
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.004,85
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,86
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.957,87
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,88
254.211.138.17.in-addr.arpa,12,0,2.0,93
254.211.138.17.in-addr.arpa,12,1,0.0,94
254.211.138.17.in-addr.arpa,12,1,0.083,95
254.211.138.17.in-addr.arpa,12,0,0.0,96
254.211.138.17.in-addr.arpa,12,0,0.005,97
254.211.138.17.in-addr.arpa,12,0,0.0,98
 
File: DeleteDeFichiers/Linux_4G_ImageOffDrive.pcapng
 
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.661,11
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,12
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,13
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,14
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.048,15
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,16
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,17
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,18
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.006,19
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,-0.0,20
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,21
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,22
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.945,23
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,24
53.0.0.127.in-addr.arpa,12,0,0.0,25
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,26
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,27
53.0.0.127.in-addr.arpa,12,0,0.0,28
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,3.999,40
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,41
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.008,42
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,43
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.004,44
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,45
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.986,55
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,56
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.054,57
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,58
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.005,59
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,60
 
File: ModifDeFichiers/modifyFileOnDrive.pcapng
 
default.exp-tas.com,1,0,10.125,67
default.exp-tas.com,1,0,0.023,68
p72-ckdatabase.icloud.com,1,0,14.934,128
p72-ckdatabase.icloud.com,1,0,0.027,129
edge.icloud-content.com,1,0,0.369,182
edge.icloud-content.com,1,0,0.028,184
p72-content.icloud.com,1,0,0.266,317
p72-content.icloud.com,1,0,0.023,318
 
File: ModifDeFichiers/modifyFileOnDrive2.pcapng
 
edge.icloud-content.com,1,0,22.805,131
edge.icloud-content.com,1,0,0.033,133
p72-content.icloud.com,1,0,0.292,412
p72-content.icloud.com,1,0,0.026,413
 
File: ModifDeFichiers/modifyFileOnDrive3.pcapng
 
ecs.office.com,1,0,3.219,10
ecs.office.com,1,0,0.027,11
outlook.office.com,1,0,0.467,75
outlook.office.com,1,0,0.031,76
login.microsoftonline.com,1,0,0.009,79
login.microsoftonline.com,1,0,0.015,86
support.content.office.net,1,0,1.597,270
support.content.office.net,1,0,0.023,272
outlook.office365.com,1,0,2.628,372
outlook.office365.com,1,0,0.02,373
outlook.office365.com,1,0,0.0,374
outlook.office365.com,1,0,0.029,379
eu-office.events.data.microsoft.com,1,0,4.563,516
eu-office.events.data.microsoft.com,1,0,0.031,517
eu-office.events.data.microsoft.com,1,0,0.008,518
eu-office.events.data.microsoft.com,1,0,0.005,520
uci.cdn.office.net,1,0,9.002,597
uci.cdn.office.net,1,0,0.025,598
edge.icloud-content.com,1,0,3.728,664
edge.icloud-content.com,1,0,0.025,666
