Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,7
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.009,8
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,9
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,10
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,11
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.006,12
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,13
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,14
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,15
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.984,18
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,19
53.0.0.127.in-addr.arpa,12,0,0.0,20
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,21
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,22
53.0.0.127.in-addr.arpa,12,0,0.0,23
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.999,24
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,25
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.007,26
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,27
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.005,28
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,29
2.10.20.172.in-addr.arpa,12,0,1.986,32
1.10.20.172.in-addr.arpa,12,0,0.0,33
2.10.20.172.in-addr.arpa,12,1,0.0,34
1.10.20.172.in-addr.arpa,12,1,0.0,35
1.10.20.172.in-addr.arpa,12,1,0.009,36
2.10.20.172.in-addr.arpa,12,1,0.0,37
1.10.20.172.in-addr.arpa,12,0,0.0,38
2.10.20.172.in-addr.arpa,12,0,0.0,39
1.10.20.172.in-addr.arpa,12,0,0.006,40
2.10.20.172.in-addr.arpa,12,0,0.0,41
1.10.20.172.in-addr.arpa,12,0,0.0,42
2.10.20.172.in-addr.arpa,12,0,0.0,43
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,1.985,60
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,61
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.006,62
